lemma_beta,freq
para/lios,1
paralla/c,1
cure/w,1
de/s1mios,1
pe/don,1
pau=ros,1
da/knw,1
patro/qen,1
dakru/w,1
*spa/rth,1
patage/w,1
parapra/s1s1w,1
parqe/nos,1
parous1i/a,1
paroimi/a,1
parh/kw,1
pareuqu/nw,1
pare/xw,1
pla/s1s1w,1
pla/zw,1
pro/teros,1
platu/s,1
s1idhrobrw/s,1
pres1beu/w,1
pre/pw,1
au)xeni/zw,1
ba/naus1os,1
*mu/s1ios,1
ba/ptw,1
ba/qos,1
*palla/s,1
pors1u/nw,1
poreute/os,1
poreu/w,1
poqe/w,1
ponto/poros,1
bafh/,1
pri/amai,1
au)to/xeir,1
pri/w,1
*laome/dwn,1
pro/s1wqen,1
au)dh/,1
pro/s1oyis,1
pro/s1keimai,1
pro/s1fqegma,1
au)gh/,1
pro/qumos,1
a)i/dhlos,1
pro/nous,1
pro/noia,1
au)lo/s,1
au)ti/ka,1
pro/dhlos,1
pro/blhtos,1
pompai=os,1
*pe/loy,1
polu/rrafos,1
plh=qos,1
bh=s1s1a,1
bia/zw,1
plo/os,1
plo/kos,1
plhs1i/os,1
bla/bh,1
plh/rhs,1
*sis1ufi/dhs,1
pleurokope/w,1
ble/faron,1
plei=s1tos,1
a)gxi/alos,1
a)gwna/rxhs,1
bo/s1kw,1
po/lutlas,1
po/ros,1
polu/ponos,1
baru/nw,1
polu/plagktos,1
polu/koinos,1
polu/kerws,1
a)hdw/n,1
polio/s,1
baqu/s,1
*qes1to/reios,1
po/rpac,1
baru/yuxos,1
poi/nimos,1
poi/mnion,1
barua/lghtos,1
bas1i/leia,1
po/te,1
s1i=ga,1
*knw/s1ios,1
s1idhrokmh/s,1
a)napnoh/,1
u(pe/rfrwn,1
u(pe/rdikos,1
a)nari/qmhtos,1
u(pas1pi/dios,1
u(pai/s1s1w,1
u(mne/w,1
u(lh/eis,1
u(gro/s,1
u(fi/s1thmi,1
a)narpa/zw,1
a)narrh/gnumi,1
u(/s1teron,1
u(/s1tatos,1
u(/pnos,1
u(/paulos,1
u(pe/rkopos,1
u(pei=pon,1
a)nas1pa/w,1
u(peikte/on,1
u(yi/kompos,1
u(yi/batos,1
u(yhlo/s,1
u(pozeu/gnumi,1
u(pourge/w,1
u(potei/nw,1
a)nape/tomai,1
u(pos1pani/zomai,1
u(podei/dw,1
u(poba/llw,1
u(po/blhtos,1
a)napne/w,1
u(perpone/w,1
u(permaxe/w,1
u(perbriqh/s,1
u(/parxos,1
tw/s,1
a)nali/s1kw,1
a)ne/xw,1
a)kmh/,1
tranh/s,1
*)enua/lios,1
a)nh/riqmos,1
tomo/s,1
toma/w,1
tolma/w,1
*)erexqei=dai,1
