ἀκρέμων	ἀκρεμών
ἀκρίς	ἄκρις
ἀλεάζω	ἀλεάζω1
ἀμάω2	ἀμάω
ἀμμά	ἅμμα
ἀμφιτόμος	ἀμφίτομος
ἀμφωτίς	ἄμφωτις
ἀνά	ἄνα1
ἀνάξιος	ἀνάξιος1
ἀνάρπαστος	ἀναρπαστός
ἀνακωχεύω	ἀνοκωχεύω
ἀναλύω	ἀναλύω2
ἀνδρότης	ἀνδροτής
ἀνθινός	ἄνθινος
ἀνοικτός	ἄνοικτος
ἀντιχορηγός	ἀντιχόρηγος
ἀντρόθε	ἄντροθε
ἀοιδός2	ἀοιδός
ἀπέρατος	ἀπέρατος1
ἀπενέπω	ἀπεννέπω
ἀπλυσία	ἀπλυσία1
ἀποδιοπομπήσις	ἀποδιοπόμπησις
ἀπολέγω2	ἀπολέγω
ἀπομιμήσις	ἀπομίμησις
ἀπομιμνήσκομαι	ἀπομιμνῄσκομαι
ἀπονέω	ἀπονέω1
ἀπφύς	ἀπφῦς
ἀπότοκος	ἀπότοκος1
ἀραιός	ἀραῖος
ἀραῖος	ἀραιός
ἀργής	ἀργῆς
ἀρεσκεία	ἀρέσκεια
ἀριστεῖα	ἀριστεία
ἀριστοτόκος1	ἀριστοτόκος
ἀροτρητής	ἀροτρήτης
ἀροτός	ἄροτος
ἀρύω	ἀρύω1
ἀστύοχος	ἀστυόχος
ἁλίς	ἅλις
ἁλεία	ἀλεία
ἁρπάγμα	ἅρπαγμα
ἄγος	ἀγός
ἄγχουρος2	ἄγχουρος
ἄγωνος	ἄγωνος1
ἄικλον	αἶκλον
ἄκρις	ἀκρίς
ἄλλῃ	ἄλλη
ἄλογχος	ἄλογχος1
ἄλσις	ἅλσις
ἄναυλος	ἄναυλος1
ἄνοικτος	ἀνοικτός
ἄποθεν	ἄπωθεν
ἄρμα	ἄρμα2
ἆγμα	ἄγμα
ἆσθμα	ἄσθμα
Ἀμύνανδρος	ἀμύνανδρος
Ἀργόλας	ἀργόλας
Ἀττίκισις	ἀττίκισις
Ἀττικίζω	ἀττικίζω
Ἀττικισμός	ἀττικισμός
Ἀττικιστής	ἀττικιστής
Ἀττικιστί	ἀττικιστί
Ἀττικουργής	ἀττικουργής
Ἀφροδίσιος	ἀφροδίσιος
Ἀφροδισιακός	ἀφροδισιακός
Ἀφροδισιασμός	ἀφροδισιασμός
Ἀφροδισιαστής	ἀφροδισιαστής
Ἀφροδισιαστικός	ἀφροδισιαστικός
Ἄγχουρος	ἄγχουρος2
Ἄμαξα	ἄμαξα
Ἄναυρος	ἄναυρος
Ἄρης	ἄρης
Ἄριστος	ἄριστος
Ἄτλας	ἄτλας
Ἄων	ἀών
ἐκάς	ἑκάς
ἐκθειόω	ἐκθειόω1
ἐκθνήσκω	ἐκθνῄσκω
ἐλάσσωμα	ἐλάττωμα
ἐλειός	ἑλειός
ἐμετός	ἔμετος
ἐνήρης	ἑνήρης
ἐνίζω	ἑνίζω
ἐναποθνήσκω	ἐναποθνῄσκω
ἐναύω	ἐναύω1
ἐνναετής	ἐνναέτης1
ἐννεάχειλος	ἐννεάχειλος1
ἐνοπή	ἐνόπη
ἐνώδιον	ἐνώτιον
ἐξαμάω2	ἐξαμάω1
ἐξαπλόω	ἑξαπλόω
ἐξαύω3	ἐξαύω2
ἐξομόρξις	ἐξόμορξις
ἐπίλογχος2	ἐπίλογχος1
ἐπαναμιμνήσκω	ἐπαναμιμνῄσκω
ἐπιδαίομαι2	ἐπιδαίομαι1
ἐπινικιος	ἐπινίκιος
ἐπιστρεπτός	ἐπίστρεπτος
ἐπιτέλλω	ἐπιτέλλω1
ἐπιτακτός	ἐπίτακτος
ἐπιφάνεια	ἐπιφάνεια1
ἐπώχατο	ἐπῴχατο
ἐρ́εθω	ἐρέθω
ἐράω2	ἐράω1
ἐρέικω	ἐρείκω
ἐρεσχελέω	ἐρεσχηλέω
ἐρεύγομαι	ἐρεύγομαι1
ἐφηλίς	ἔφηλις
ἑκατονταετής	ἑκατονταέτης
ἑνίζω	ἐνίζω
ἑξάς	ἑξᾶς
ἔα	ἔα1
ἔρος2	ἔρος
ἔψια	ἑψία
Ἐλευσίς	ἔλευσις
Ἐνόπη	ἐνοπή
Ἐπικλοπίη	ἐπικλοπίη
Ἐπιμηλίδες	ἐπιμηλίδες
Ἑκαέργος	ἑκάεργος
Ἑλληνικός	ἑλληνικός
Ἑλληνισμός	ἑλληνισμός
Ἑλληνιστής	ἑλληνιστής
Ἑλληνιστί	ἑλληνιστί
Ἑλληνοκοπέω	ἑλληνοκοπέω
Ἑρμοδάκτυλον	ἑρμοδάκτυλον
Ἑσπέρισμα	ἑσπέρισμα
Ἑσπερόθεν	ἑσπερόθεν
ἠθμός	ἡθμός
ἡδυλόγος	ἡδύλογος
ἡμός	ἦμος
ἡσυχῆ	ἡσυχῇ
ἤπου	ἦπου
ἦλος	ἧλος
ἦνις	ἤνις
Ἡγεμόνη	ἡγεμόνη
Ἡλιοσκόπιος	ἡλιοσκόπιος
Ἡλιοτρόπιον	ἡλιοτρόπιον
ἰάπτω	ἰάπτω1
ἰθυκυφής	ἰθύκυφος
ἰκτῖνος	ἴκτινος
ἰσηγορέω	ἰσηγορέομαι
ἰσογράφος	ἰσόγραφος
ἰσοδρόμος	ἰσόδρομος
ἰχθύς	ἰχθῦς
ἱδρῶα	ἵδρωα
ἱπποδρόμος	ἱππόδρομος
ἴλαος	ἵλαος
ἴς	ἴς1
ἵεσις	ἴεσις
ἶψ	ἴψ
Ἰακχάζω	ἰακχάζω
Ἰηπαιήων	ἰηπαιήων
Ἰσθμιονίκης	ἰσθμιονίκης
Ἰχνευτικός	ἰχνευτικός
Ἰωνοκάμπτης	ἰωνοκάμπτης
Ἰωνόκυσος	ἰωνόκυσος
Ἱππομέδων	ἱππομέδων
Ἱππομιγής	ἱππομιγής
Ἱππόμορφος	ἱππόμορφος
Ἱππόνικος	ἱππόνικος
Ἴος	ἰός4
Ἶρος	ἶρος
ὀά	ὀᾶ
ὀίζω	οἴζω
ὀγκίον	ὄγκιον
ὀζώδης	ὀζώδης1
ὀνομακλυτός	ὀνομάκλυτος
ὀρσοτριαίνης	ὀρσοτρίαινα
ὀσφύς	ὀσφῦς
ὀσχοφόρια	ὠσχοφόρια
ὀφρύς	ὀφρῦς
ὁδός2	ὁδός
ὁλοίτροχος	ὀλοίτροχος
ὁλοσφύρητος	ὁλοσφύρατος
ὁμίχλη	ὀμίχλη
ὁμοιομερεία	ὁμοιομέρεια
ὁροθέσια	ὁροθεσία
ὄλμος	ὅλμος
ὅτι2	ὅτι
Ὀλυμπιονίκης	ὀλυμπιονίκης
Ὀλυμπιόνικος	ὀλυμπιόνικος
Ὀροσάγγαι	ὀροσάγγαι
Ὀρφεοτελεστής	ὀρφεοτελεστής
Ὁμηρίζω	ὁμηρίζω
ὑμήν2	ὑμήν
ὑπεραποθνήσκω	ὑπεραποθνῄσκω
ὑποδεής	ὑποδεής1
ὑποκινδύνος	ὑποκίνδυνος
ὑπόστατος	ὑποστατός
ὑράξ	ὕραξ
ὑψιπετής	ὑψιπέτης
Ὑάκινθος	ὑάκινθος
Ὑμήν	ὑμήν
Ὑρμίνη	ὑρμίνη
ὤρα	ὥρα
ὤριος	ὥριος
ὥρα	ὤρα
ὥσπεροῦν	ὡσπεροὖν
Ὠγύγιος	ὠγύγιος
Ὠλήν	ὠλήν
Ὧρος	ὧρος
ᾤζω	ὤζω
ῥιζίον	ῥίζιον
ῥοιά	ῥοία
ῥυππαπαί	ῥυππαπαῖ
ῥώξ	ῥώξ1
ῥᾳθυμέω	ῥαθυμέω
ῥᾳθυμία	ῥαθυμία
ῥᾴθυμος	ῥάθυμος
ῶνος	ὦνος
