ἔμϐη	ἐμϐήῃ		ἐμϐαίνω	0
ἔμεν	ἔμεναι		εἰμί	0
ἐμεῦ	ἐμεῦς		ἐγώ	0
ἐμίγην	ἔμικτο		μίγνυμι	0
ἔμμεν	ἔμμεναι		εἰμί	0
ἔμνησα	ἐμνήσθην		μιμνῄσκω	0
ἐμπίτνω	ἐμπιτνέω		ἐμπίπτω	0
ἐνάρηρεν	ἐναρηρός		ἐναραρίσκω	0
ἐνδοῖ	ἔνδοι		ἔνδοθι	0
ἐνένιπτον	ἐνένισπον		ἐνίπτω	0
ἐνέποισα	ἐνέποισι		ἐνέπω	0
ἐνέσταα	ἐνεστέασι		ἐνίστημι	0
ἐνεχθείς	ἐνεχθήσομαι		φέρω	0
ἐνθάλασσος	ἐνθάλαττος		ἐνθαλάσσιος	0
ἐνθαῦτα	ἐνθαυθοῖ		ἐνταῦθα, ἐνταυθοῖ	0
ἐνίπλειος	ἐνίπλεος		ἔμπλεος	0
ἐνναταῖος	ἔννατος		ἐναταῖος, ἔνατος	0
ἐξενεγκεῖν	ἐξενεῖκαι, ἐξενειχθῆναι		ἐκφέρω	0
ἐξένθοις	ἐξενθών, ἐξενθοῖσα		ἐξέρχομαι	0
ἐξεσσύθην	ἐξέσσυτο		ἐκσεύομαι	0
ἔοιγμεν	ἔοικα		*εἴκω	0
ἔοις	ἐοῖσα		εἰμί	0
ἔον	ἐόν		εἰμί	0
ἐπανέσταα	ἐπανεστέως		ἐπανίστημι	0
ἐπειρωτάω	ἐπειρώτημα, ἐπειρώτησις		ἐπερωτάω	0
ἐπῄνεον	ἐπῄνησα		ἐπαινέω	0
ἐπιϐείομεν	ἐπιϐήμεναι, ἐπιϐησέμεν, ἐπιϐήσεο		ἐπιϐαίνω	0
ἐπιϐραχύ	ἐπὶ βραχύ		βραχύς	0
ἐπιδιπλοΐζω	ἐπιδιπλοίζω		ἐπιδιπλασιάζω	0
ἐπιέπομαι	ἐπιέσπομαι		ἐφέπομαι	0
ἐπιθαλάσσιος	ἐπιθαλάττιος		ἐπιθαλασσίδιος	0
ἐπίσης	ἐπ' ἴσης		ἴσος	0
ἐπίσπω	ἐπισπών		ἐφέπω	0
ἐπισχέειν	ἐπισχέθοι, ἐπισχεῖν		ἐπέχω	0
ἔπλε	ἔπλεο, ἔπλευ		πέλω	0
ἐπλήμην	ησο, ητο		πίμπλημι	0
ἔπλησα	ἐπλήσθην		πίμπλημι	0
ἔπραξα	ἐπράχθην		πράσσω	0
ἐπῶρσα	ἐπῶρτο		ἐπόρνυμι	0
ἔργαθον	ἐέργαθον		*εἰργάθω	0
ἔρδεσκεν	ἔρδεσκες		ἔρδω	0
ἐρέϐεσφι	ἐρέϐευσφι		ἔρεϐος	0
ἐρήτυθεν	ἐρητύσασκε		ἐρητύω	0
ἐρίπῃσι	ἐριπέντι		ἐρείπω	0
ἐρρύηκα	ἐρρύην		ῥέω	0
ἔρρωσα	ἔρρωσο		ῥώννυμι	0
Ἐρύκη	Ἐρύκα		Ἔρυξ	0
ἔρχαται	ἔρχατο		εἴργω	0
ἐσϐαίνω	ἐσϐάλλω		εἰσϐαίνω	0
ἔσϐεσα	ἔσϐην		σϐέννυμι	0
ἐσγραφή	ἐσγράφω		εἰσγραφή, εἰσγράφω	0
ἐσδέρκομαι	ἐσδέρχομαι		εἰσδέρκομαι	0
ἐσέργνυμι	ἐσέρχομαι		εἰσέργνυμι, εἰσέρχομαι	0
ἐσηγέομαι	ἐσήγησις		εἰσηγέομαι	0
ἐσία	ἐσσία	vieux mot att. ou forgé par	οὐσία	27
ἐσίζομαι	ἐσίημι		εἰσίζομαι	0
ἔσκληκα	ἐσκλήκειν		σκέλλω	0
ἐσκλύω	ἐσκομιδή, ἐσκομίζω		*εἰσκλύω	0
ἐσμαίομαι	ἐσμάσσομαι, ἐσματεύομαι		εἰσμαίομαι	0
ἔσοδος	ἐσοιδαίνω		εἴσοδος	0
ἐσοπτός	ἐσοπτρίζω, ἐσοπτρικός		εἰσοπτός, εἰσοπτρίζω, εἰσοπτρικός	0
ἐσπίπτω	ἐσπλέω, ἔσπλοος, ἔσπνοος, ἐσποιέω, ἐσποίησις		εἰσπίπτω, εἰσπλέω, εἴσπλοος, εἴσπνοος, εἰσποιέω, εἰσποίησις	0
ἔσπραξις	ἐσπράττω, ἐσρέω		εἴσπραξις, εἰσπράττω, εἰσρέω	0
ἕσσα	ἕσσαι		ἕννυμι	0
ἔσσεαι	ἐσσεῖται, ἔσσεται		εἰμί	0
ἔσσευα	ἐσσεύοντο		σεύω	0
ἐσσύμην	ἔσσυο, ἔσσυτο		σεύω	0
ἔσταθεν	ἐστάθην		ἵστημι	0
ἕσταν	ἑστάναι, ἕστασα, ἕστασαν, ἕστασε, ἕστᾶσι, ἕστατε		ἵστημι	0
ἑστεώς	ἕστηκα		ἵστημι	0
ἐστρωμένος	ἔστρωτο		στρώννυμι	0
ἐσφοιτάω	ἐσφορά, ἐσφορέω		εἰσφοιτάω, εἰσφορά, εἰσφορέω	0
ἔσχεθον	ἔσχηκα, ἔσχον		ἔχω	0
ἔτλαν	ἔτλην		τλάω	0
ἐτράφην	ἔτραφον		τρέφω	0
εὐαυγής	εὐαυγία		εὐαγής, εὐαγία	0
εὐγήθητος	εὐγάθητος		εὐγηθής	0
εὐεπίϐολος	εὐεπιϐόλως		εὐεπήϐολος, εὐεπηϐόλως	0
εὔκερος	ἠΰκερος		εὔκερως	0
εὐκλεΐη	ἐϋκλεΐη		εὔκλεια	0
εὐπήξ	εὐπάξ		εὔπηκτος	0
εὐπλεκής	ἐϋπλεκής		εὔπλεκτος	0
εὐπλοίη	εὐπλοΐη		εὔπλοια1	0
εὐπλοκαμίς	ἐϋπλοκαμίς		εὐπλόκαμος	0
εὔρειτος	ἐΰρρειτος		εὔροος	0
εὔριν	ἐΰρριν		εὔρις	0
εὐστεφής	ἐϋστεφής		εὐστέφανος	0
εὐστρεφής	ἐϋστρεφής		εὔστρεπτος	0
εὐστροφής	ἐϋστροφής		εὐστρεφής	0
εὔφαμος	εὐφάμως		εὔφημος, εὐφήμως	0
ἐφαϐικός	ἔφαϐος		ἐφηϐικός, ἔφηϐος	0
ἐφέσσαι	ἔφεσσαι, ἐφεσσάμην		*ἐφέζω	0
ἐφίλαθεν	ἐφιλάμην		φιλέω	0
ἐφόσα	ἐφόσον, ἐφ' ὅσα, ἐφ' ὅσον		ὅσος	0
ἔχευα	ἐχεύατο		χέω	0
ἐψιλόν	ἒ ψιλόν		ψιλός	0
ἑωυτέων	ἑωυτοῦ		ἑαυτοῦ	0
ζαλόω	ζαλωτός		ζηλόω	0
ζῆ	ζῇ, ζῆθι		ζάω	0
ζόα	ζόη		ζωή	0
ζωογραφία	ίη		ζωγραφία	0
ἠϐουλήθην	ἠϐουλόμην		βούλομαι	0
ἠγοράασθε	ἠγορόωντο		ἀγοράομαι	0
ᾔδειν	ᾔδεισθα		*εἴδω	0
ἥδιον	ἥδιστα		ἡδέως	0
ἠείδει	ἠείδη		*εἴδω	0
ἠέλιος	ἠελιῶτις		ἥλιος, ἡλιῶτις	0
ἠέροπος	Ἠέροπος		*ἀέροπος, Ἀέροπος	0
ᾔκαζον	ᾔκασα		εἰκάζω	0
ἠλήλατο	ἠλήλαντο		ἐλαύνω	0
ἡλιόκαυστος	ἁλιόκαυστος		ἡλιοκαής	0
ἡμεῖς	ἡμείων		ἐγώ	0
ἡμίσεα	ἡμίσεια		ἥμισυς	0
ἠμφίεσα	ἠμφίεσμαι		ἀμφιέννυμι	0
ἤνεγκαν	ἤνεγκον		φέρω	0
ἤνεικα	ἠνείκατο, ἠνείχθην		φέρω	0
ἠνοίγην	ἤνοιξα		ἀνοίγω	0
